Result,Down,FirstDownDistance,PointDifference,EndZoneDistance,Quarter,Minutes,Seconds,Opponent
Punt,4,21,-10,86,2,12,39,49ers
Pass,1,10,-17,75,2,9,12,49ers
Run,1,10,-17,52,2,8,30,49ers
Run,1,10,-17,41,2,7,47,49ers
Run,2,3,-17,34,2,7,3,49ers
Run,1,10,-17,30,2,6,25,49ers
Pass,1,10,-20,92,2,1,51,49ers
Pass,1,15,-20,78,2,1,12,49ers
Pass,2,15,-20,78,2,1,8,49ers
Pass,1,10,-27,75,2,0,45,49ers
Pass,2,11,-27,76,2,0,23,49ers
Run,3,11,-27,76,2,0,19,49ers
Punt,4,9,-27,74,2,0,14,49ers
Pass,1,10,-27,75,3,15,0,49ers
Pass,1,10,-27,59,3,14,36,49ers
Pass,2,10,-27,59,3,14,33,49ers
Pass,1,10,-27,45,3,14,0,49ers
Run,2,2,-27,37,3,13,11,49ers
Pass,1,10,-27,34,3,12,30,49ers
Pass,2,8,-27,32,3,11,52,49ers
Pass,3,4,-27,28,3,11,10,49ers
Pass,1,15,-27,27,3,10,9,49ers
Pass,2,8,-27,20,3,9,30,49ers
Pass,1,9,-27,9,3,8,49,49ers
Pass,1,10,-27,75,3,4,49,49ers
Pass,2,3,-27,68,3,4,13,49ers
Pass,1,10,-27,63,3,3,31,49ers
Run,2,10,-27,63,3,3,26,49ers
Pass,3,7,-27,60,3,2,43,49ers
Run,1,10,-27,55,3,2,24,49ers
Pass,1,20,-27,65,3,1,59,49ers
Pass,2,18,-27,63,3,1,26,49ers
Pass,3,12,-27,57,3,0,39,49ers
Pass,4,2,-27,47,3,0,5,49ers
Pass,1,10,-27,43,4,15,0,49ers
Run,1,1,-27,1,4,14,45,49ers
Pass,1,10,-21,92,4,11,25,49ers
Pass,2,5,-21,87,4,10,55,49ers
Pass,3,5,-21,87,4,10,48,49ers
Run,1,10,-21,22,4,10,1,49ers
Pass,2,10,-21,22,4,9,28,49ers
Pass,3,2,-21,14,4,8,57,49ers
Pass,1,8,-21,8,4,8,21,49ers
Run,1,10,-17,75,4,3,26,49ers
Pass,2,6,-17,71,4,3,1,49ers
Pass,3,13,-17,78,4,2,15,49ers
Pass,4,13,-17,78,4,2,8,49ers
Pass,1,10,-17,62,4,1,59,49ers
